fold,seed,mode,k,repeat,test_loss,AUROC,AUPRC,balanced_accuracy,R@1,R@5,R@10,MRR,image_R@1,image_R@5,image_R@10,image_MRR,image_median_rank,brain_R@1,brain_R@5,brain_R@10,brain_MRR,brain_median_rank,n_test_pairs,baseline_AUROC,baseline_AUPRC,baseline_R@5,baseline_MRR,baseline_brain_R@5,baseline_brain_MRR,AUROC_drop,AUPRC_drop,R@5_drop,MRR_drop,brain_R@5_drop,brain_MRR_drop
fold_01,11,random,5,18,0.572979203403463,0.8220371367693253,0.7960349370846613,0.7212793733681462,0.0156657963446475,0.0661444734551784,0.1100957354221061,0.0531038202359386,0.0126196692776327,0.072236727589208,0.1231505657093124,0.0541962764514463,86.0,0.0178416013925152,0.0953002610966057,0.1644908616187989,0.0712199748981253,58.0,4596,0.8246089042501862,0.7958296751129693,0.0652741514360313,0.0533061083044648,0.0957354221061792,0.0710997633566489,0.0025717674808608537,-0.00020526197169201676,-0.0008703220191471073,0.00020228806852620046,0.0004351610095734981,-0.00012021154147640045
fold_01,11,random,5,19,0.5806828936978565,0.8218037442783334,0.792493758846098,0.7143167972149695,0.0174064403829416,0.0665796344647519,0.1109660574412532,0.0543043516157614,0.0174064403829416,0.0604873803307223,0.1087902523933855,0.0525982060452921,92.0,0.0178416013925152,0.0953002610966057,0.1592689295039164,0.0683688029257602,59.0,4596,0.8246089042501862,0.7958296751129693,0.0652741514360313,0.0533061083044648,0.0957354221061792,0.0710997633566489,0.002805159971852822,0.0033359162668713527,-0.0013054830287206054,-0.0009982433112966024,0.0004351610095734981,0.002730960430888704
fold_01,11,random,5,20,0.5870681503630389,0.8285489292918276,0.7989291542625976,0.7132288946910357,0.0200174064403829,0.0648389904264577,0.1118363794604003,0.0571579490469128,0.0165361183637946,0.0691906005221932,0.1174934725848564,0.0553765115897772,89.0,0.0169712793733681,0.0957354221061792,0.1627502175805047,0.0704293980866248,58.0,4596,0.8246089042501862,0.7958296751129693,0.0652741514360313,0.0533061083044648,0.0957354221061792,0.0710997633566489,-0.003940025041641371,-0.0030994791496282703,0.00043516100957359527,-0.003851840742448001,0.0,0.0006703652700241064
fold_01,11,top_gate,10,0,1.1499603262561835,0.7761218746236369,0.7373697652043849,0.5082680591818973,0.0130548302872062,0.0513489991296779,0.0909486510008703,0.0444495890847103,0.0069625761531766,0.0300261096605744,0.0557006092254134,0.0286482813579154,207.0,0.0143603133159268,0.057006092254134,0.093124456048738,0.0475304091023415,104.0,4596,0.8246089042501862,0.7958296751129693,0.0652741514360313,0.0533061083044648,0.0957354221061792,0.0710997633566489,0.04848702962654927,0.058459909908584407,0.013925152306353397,0.0088565192197545,0.038729329852045205,0.023569354254307402
fold_01,11,bottom_gate,10,0,0.5784944237782915,0.821927683739067,0.7933267636820934,0.7127937336814621,0.0152306353350739,0.0617928633594429,0.1100957354221061,0.0523215846476888,0.016100957354221,0.0657093124456048,0.1109660574412532,0.0527002433925663,90.0,0.0187119234116623,0.0922541340295909,0.1566579634464752,0.0688450575782919,59.0,4596,0.8246089042501862,0.7958296751129693,0.0652741514360313,0.0533061083044648,0.0957354221061792,0.0710997633566489,0.0026812205111191867,0.002502911430875887,0.0034812880765883944,0.0009845236567759957,0.003481288076588304,0.0022547057783569996
fold_01,11,random,10,1,0.6451827693857038,0.7976417984837157,0.774312417675287,0.6697127937336815,0.0174064403829416,0.0622280243690165,0.1100957354221061,0.0522514188079532,0.0139251523063533,0.0526544821583986,0.1026979982593559,0.0468696594893251,114.0,0.0169712793733681,0.0857267188859878,0.1479547432550043,0.0637889274821059,68.0,4596,0.8246089042501862,0.7958296751129693,0.0652741514360313,0.0533061083044648,0.0957354221061792,0.0710997633566489,0.026967105766470434,0.02151725743768229,0.003046127067014799,0.0010546894965116002,0.0100087032201914,0.007310835874542995
fold_01,11,random,10,2,0.5785585646010981,0.8203207314643755,0.7908025062451529,0.7149695387293299,0.0156657963446475,0.0648389904264577,0.109225413402959,0.0531223276210166,0.016100957354221,0.0600522193211488,0.1074847693646649,0.0521143955994229,95.0,0.0195822454308094,0.0918189730200174,0.1496953872932985,0.0690378505620663,60.0,4596,0.8246089042501862,0.7958296751129693,0.0652741514360313,0.0533061083044648,0.0957354221061792,0.0710997633566489,0.004288172785810729,0.005027168867816401,0.00043516100957359527,0.00018378068344819531,0.003916449086161802,0.002061912794582607
fold_01,11,random,10,3,0.608010758100332,0.813717475596519,0.7875178211096425,0.6986510008703221,0.0182767624020887,0.0661444734551784,0.1087902523933855,0.0538013025147827,0.0156657963446475,0.0587467362924282,0.1031331592689295,0.0500858259352347,96.0,0.0204525674499564,0.0874673629242819,0.1579634464751958,0.0678290658508786,62.0,4596,0.8246089042501862,0.7958296751129693,0.0652741514360313,0.0533061083044648,0.0957354221061792,0.0710997633566489,0.010891428653667212,0.00831185400332679,-0.0008703220191471073,-0.0004951942103178994,0.008268059181897311,0.0032706975057703036
fold_01,11,random,10,4,0.6679175710346099,0.8034156351949439,0.7697418662342997,0.6640557006092255,0.0126196692776327,0.0535248041775456,0.103568320278503,0.0459576679559269,0.0117493472584856,0.0469973890339425,0.0879025239338555,0.0423593944393532,125.0,0.0143603133159268,0.0752828546562228,0.134899912967798,0.0574040891003753,74.0,4596,0.8246089042501862,0.7958296751129693,0.0652741514360313,0.0533061083044648,0.0957354221061792,0.0710997633566489,0.021193269055242325,0.02608780887866957,0.011749347258485698,0.007348440348537898,0.02045256744995641,0.013695674256273604
fold_01,11,random,10,5,0.7973920214269553,0.8243614040589274,0.7943383974004373,0.606396866840731,0.0126196692776327,0.0617928633594429,0.1100957354221061,0.0510763992976782,0.0130548302872062,0.0500435161009573,0.0857267188859878,0.0431869628772277,121.0,0.0152306353350739,0.0822454308093994,0.1414273281114012,0.0636619759078839,63.0,4596,0.8246089042501862,0.7958296751129693,0.0652741514360313,0.0533061083044648,0.0957354221061792,0.0710997633566489,0.0002475001912587427,0.001491277712531991,0.0034812880765883944,0.0022297090067865954,0.013489991296779802,0.007437787448764999
