checkpoint_a,checkpoint_b,pearson_corr,spearman_corr
fold_03_seed11,fold_04_seed11,0.9886581917050236,0.9789540829449468
fold_03_seed11,fold_04_seed22,0.9758139966930918,0.971206930255049
fold_03_seed11,fold_04_seed33,0.9876890605150934,0.9802771690484274
fold_03_seed11,fold_05_seed11,0.9862669207753014,0.972945667047337
fold_03_seed11,fold_05_seed22,0.9778847497569148,0.9545459221992447
fold_03_seed11,fold_05_seed33,0.9882914550577135,0.9730053396709774
fold_03_seed11,fold_06_seed11,0.9828713401125893,0.9700793234359085
fold_03_seed11,fold_06_seed22,0.9778955691758839,0.9678776093912363
fold_03_seed11,fold_06_seed33,0.9833483197900648,0.9735650277271932
fold_03_seed11,fold_07_seed11,0.9817270442915503,0.9714517937796434
fold_03_seed11,fold_07_seed22,0.9792570955781266,0.9641120610718438
fold_03_seed11,fold_07_seed33,0.9864618400841945,0.9784622982190808
fold_03_seed11,fold_08_seed11,0.9851533745355929,0.9734065866230439
fold_03_seed11,fold_08_seed22,0.9876217427424672,0.9720773274895316
fold_03_seed11,fold_08_seed33,0.980048112715081,0.9509285266006152
fold_03_seed22,fold_03_seed33,0.982355265188802,0.9756947230881611
fold_03_seed22,fold_04_seed11,0.9836747094516576,0.9650462462833214
fold_03_seed22,fold_04_seed22,0.977788682243206,0.9675792462730332
fold_03_seed22,fold_04_seed33,0.9792033634493705,0.959299155323724
fold_03_seed22,fold_05_seed11,0.9774530445194568,0.9621881333786023
fold_03_seed22,fold_05_seed22,0.9760500042348117,0.9638548514871859
fold_03_seed22,fold_05_seed33,0.978204310592025,0.9530294144881014
fold_03_seed22,fold_06_seed11,0.9801521030049345,0.9640729652149757
fold_03_seed22,fold_06_seed22,0.9781467460860914,0.9620975956048026
fold_03_seed22,fold_06_seed33,0.9774379454880713,0.9569739806784159
fold_03_seed22,fold_07_seed11,0.9783591913421006,0.9645133080239102
fold_03_seed22,fold_07_seed22,0.9839072924861525,0.9742564070907539
fold_03_seed22,fold_07_seed33,0.9807652967070416,0.9653672438449745
fold_03_seed22,fold_08_seed11,0.9792981527953778,0.9652746483944977
fold_03_seed22,fold_08_seed22,0.9847025522223811,0.967819994444273
fold_03_seed22,fold_08_seed33,0.9669614996753921,0.9149521075753366
fold_03_seed33,fold_04_seed11,0.9869311446539593,0.9723427677808987
fold_03_seed33,fold_04_seed22,0.9830331856100167,0.9786166239698756
fold_03_seed33,fold_04_seed33,0.9877324710466501,0.9688076792493596
fold_03_seed33,fold_05_seed11,0.9870705899498197,0.9686698149119829
fold_03_seed33,fold_05_seed22,0.9882594915231943,0.966830251962509
fold_03_seed33,fold_05_seed33,0.9712834781034673,0.9404796444334701
fold_03_seed33,fold_06_seed11,0.9824652937541701,0.9703221292838257
fold_03_seed33,fold_06_seed22,0.955914653401492,0.9329073942611398
fold_03_seed33,fold_06_seed33,0.9792928790377885,0.9622601520623064
fold_03_seed33,fold_07_seed11,0.9880499793565823,0.9757976069220242
fold_03_seed33,fold_07_seed22,0.9809597906018751,0.9688508904595821
fold_03_seed33,fold_07_seed33,0.9866540593717157,0.9711225655112812
fold_03_seed33,fold_08_seed11,0.9884527353495235,0.9684825663343518
fold_03_seed33,fold_08_seed22,0.9730046785857184,0.9385742358303241
fold_03_seed33,fold_08_seed33,0.958430797069637,0.9018344187577806
fold_04_seed11,fold_04_seed22,0.9931912949725051,0.9931870325215798
fold_04_seed11,fold_04_seed33,0.9985152375883058,0.9956953403911644
fold_04_seed11,fold_05_seed11,0.9863636707249228,0.9670751154871035
fold_04_seed11,fold_05_seed22,0.9838825372968188,0.9557517207321213
fold_04_seed11,fold_05_seed33,0.9796035459157938,0.9529759148944926
fold_04_seed11,fold_06_seed11,0.9883716654282474,0.9751021122051092
fold_04_seed11,fold_06_seed22,0.97343889202347,0.9552331862094509
fold_04_seed11,fold_06_seed33,0.986292958076935,0.9737522763048242
fold_04_seed11,fold_07_seed11,0.9812721407025565,0.9673364404251159
fold_04_seed11,fold_07_seed22,0.9777214341292344,0.9585789684866817
fold_04_seed11,fold_07_seed33,0.9821464532599257,0.9677891292941141
fold_04_seed11,fold_08_seed11,0.9893276328368337,0.9788223916376019
fold_04_seed11,fold_08_seed22,0.983485832496445,0.9644515777235922
fold_04_seed11,fold_08_seed33,0.9716936469713333,0.9345494202495962
fold_04_seed22,fold_04_seed33,0.9901068795860519,0.9866930049281356
fold_04_seed22,fold_05_seed11,0.9765701687013515,0.9685977962282787
fold_04_seed22,fold_05_seed22,0.9846836381278844,0.9697480374908691
fold_04_seed22,fold_05_seed33,0.962679133736429,0.9432081237075218
fold_04_seed22,fold_06_seed11,0.983510960815134,0.9756576849079703
