fold,subject,nsdId,repeat_1,repeat_2,raw_cosine_same_image
fold_01,1,19436,2,2,0.9088695049285889
fold_01,1,19436,3,3,0.9424454569816589
fold_01,1,19690,1,1,0.8800314664840698
fold_01,1,19690,2,2,0.9214010834693909
fold_01,1,19690,3,3,0.934683620929718
fold_01,1,19933,1,1,0.9467206597328186
fold_01,1,19933,2,2,0.9460781216621399
fold_01,1,19933,3,3,0.9375744462013245
fold_01,1,20054,1,1,0.9269102811813354
fold_01,1,20054,2,2,0.9454943537712097
fold_01,1,20054,3,3,0.9319214224815369
fold_01,1,20080,1,1,0.9431489706039429
fold_01,1,20080,2,2,0.9290199279785156
fold_01,1,20080,3,3,0.9226892590522766
fold_01,1,20206,1,1,0.903336763381958
fold_01,1,20206,2,2,0.9281091690063477
fold_01,1,20206,3,3,0.9132900834083557
fold_01,1,20223,1,1,0.9296838641166687
fold_01,1,20223,2,2,0.927600085735321
fold_01,1,20223,3,3,0.9192385673522949
fold_01,1,20265,1,1,0.936580240726471
fold_01,1,20265,2,2,0.9307115077972412
fold_01,1,20265,3,3,0.9371072053909302
fold_01,1,20307,1,1,0.9126666784286499
fold_01,1,20307,2,2,0.9012925028800964
fold_01,1,20307,3,3,0.8839660882949829
fold_01,1,20442,1,1,0.9348552227020264
fold_01,1,20442,2,2,0.9280591011047363
fold_01,1,20442,3,3,0.9369350075721741
fold_01,1,20633,1,1,0.9496794939041138
fold_01,1,20633,2,2,0.9427176713943481
fold_01,1,20633,3,3,0.9550988674163818
fold_01,1,20650,1,1,0.9196882843971252
fold_01,1,20650,2,2,0.9358758330345154
fold_01,1,20650,3,3,0.9286854267120361
fold_01,1,20738,1,1,0.9463090896606445
fold_01,1,20738,2,2,0.9302130341529846
fold_01,1,20738,3,3,0.9430159330368042
fold_01,1,20820,1,1,0.9452114105224609
fold_01,1,20820,2,2,0.9425486326217651
fold_01,1,20820,3,3,0.9173252582550049
fold_01,1,21108,1,1,0.9435423016548157
fold_01,1,21108,2,2,0.9321966171264648
fold_01,1,21108,3,3,0.9470301866531372
fold_01,1,21192,1,1,0.896049439907074
fold_01,1,21192,2,2,0.9372632503509521
fold_01,1,21192,3,3,0.9398508667945862
fold_01,1,21194,1,1,0.9016104936599731
fold_01,1,21194,2,2,0.9315544366836548
fold_01,1,21194,3,3,0.9369723200798035
fold_01,1,21218,1,1,0.9369425177574158
fold_01,1,21218,2,2,0.93253093957901
fold_01,1,21218,3,3,0.9094365835189819
fold_01,1,21253,1,1,0.9545454978942871
fold_01,1,21253,2,2,0.9437342882156372
fold_01,1,21253,3,3,0.9422642588615417
fold_01,1,21279,1,1,0.9307580590248108
